Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr16	34170	0	0
chr16	35057	0.5915189237	0.000524677285322
chr16	35065	0.57986529	0.000529316207642
chr16	35561	0.5774423614	0.000815727618896
chr16	38165	0.584672005	0.002338213519916
chr16	39475	0.6522440796	0.003192653264192
chr16	41010	0.7776298861	0.004386315139356
chr16	44808	0.7270876443	0.007147794012407
chr16	45254	0.6990703134	0.007459579372184
chr16	45481	0.6745247949	0.007612696500626
chr16	47354	1.0102559353	0.009504905867443
chr16	51263	1.8855707286	0.01687560184554
chr16	53423	1.8873715382	0.020952324368052
chr16	55320	1.1649976717	0.023162324951267
chr16	55444	0.6692633746	0.023245313609717
chr16	57275	0.6676123973	0.024467711909174
chr16	58586	0.6702131045	0.02534636128923
chr16	60167	0.6890304946	0.026435718501114
chr16	63972	3.6391235286	0.040282583527437
chr16	65043	3.778668339	0.044329537318506
chr16	65074	3.8631976666	0.04444929644617
chr16	65187	3.8834258924	0.044888123572012
chr16	65659	2.4363218587	0.046038067489318
chr16	67196	0.7923458362	0.047255903039557
chr16	69021	0.6575594726	0.048455949077052
chr16	69731	0.5987099104	0.048881033113436
chr16	70336	0.5934521458	0.049240071661645
chr16	71847	0.5932017258	0.050136399469329
chr16	74163	0.5951738733	0.051514822159892
chr16	78955	1.3767246672	0.058112086765237
chr16	79278	2.7198335908	0.058990593015065
chr16	80407	3.0028509428	0.062380811729487
chr16	80854	3.0503333746	0.063744310747933
chr16	81780	3.7449817706	0.067212163867509
chr16	83094	3.7128735522	0.072090879715099
chr16	83879	3.5355229055	0.074866265195917
chr16	83947	3.0392996411	0.075072937571512
chr16	84458	1.3390706634	0.075757202680509
chr16	86889	1.281260868	0.078871947850617
chr16	91661	1.2182179347	0.084685283835146
chr16	92827	1.2158538005	0.086102969366529
chr16	93505	1.0557855447	0.086818791965835
chr16	95034	1.0573998897	0.088435556397187
chr16	95284	0.4875785749	0.088557451040912
chr16	95886	0.3976381474	0.088796829205646
chr16	96174	0.399692218	0.08891194056443
chr16	97707	0.4008798732	0.089526489410046
chr16	97816	0.4022403799	0.089570333611455
chr16	98011	0.4034588921	0.089649008095415
chr16	102222	0.4031413937	0.091346636504285
chr16	102474	0.4030654622	0.09144820900076
chr16	104846	0.4029629458	0.092404037108197
chr16	105322	0.4039468382	0.092596315803181
chr16	105968	0.4045733717	0.092857670201299
